partnumber,releasedate
10G-SFPP-SR,2020-05-19
ICX7150-24-4X10GR,2024-10-23
ICX7150-24P-4X1G,2024-10-23
ICX7150-48-2X10G,2024-10-23
ICX7150-48-4X10GR,2024-10-23
ICX7150-48-4X1G,2024-10-23
ICX7150-48P-4X10GR,2024-10-23
ICX7150-48P-4X1G,2024-10-23
ICX7150-48PF-4X10GR,2024-10-23
ICX7150-C12P-2X10GR,2024-10-23
ICX7150-C12P-2X1G,2024-10-23
ICX7400-4X10GF,2024-10-23
ICX7450-24,2024-10-23
ICX7450-48P,2024-10-23
ICX7650-2X40GQ,2024-10-23
ICX7650-48F-E2,2024-09-04
ICX7650-48P-E2,2024-09-04
ICX7650-48ZP-E2,2024-09-04
